vg_2v x,vg_2v y,vg_1.5v x,vg_1.5v y,vg_1v x,vg_1v y,vg_0.5v x,vg_0.5v y
0.0315966392055585,0.00006368289833427699,0.015879328233880663,0.000019285120675030043,0.02038635389152349,0.000015530435334836466,0.02707979431990354,0.0000020275715347795042
0.00035512874644438863,0.000009318053163429084,0.06295270732481656,0.00007495920001927099,0.07597627674512203,0.00003908623098510195,0.075472223040491,0.0000020586402889749295
0.06295270732481656,0.00011604538282727309,0.11052686704437942,0.00012449143049851272,0.13055809218945852,0.00006376364972183243,0.13055809218945852,0.0000020586402889749295
0.09299954504243524,0.00016825731388584462,0.15810102676394233,0.00017405437387837713,0.1856439613384261,0.00008302901465788264,0.1856439613384261,0.0000020586402889749295
0.12304638276005386,0.00021989337805774036,0.21068299276977498,0.00022340093091294515,0.2407298304873936,0.0000994324956722734,0.2407298304873936,0.000002896264851411914
0.15309322047767254,0.0002699937971985017,0.2657688619187425,0.0002724019678155081,0.2958156996363611,0.00011199686410882773,0.2958156996363611,0.0000020586402889749295
0.18314005819529122,0.0003181106748407147,0.32085473106771,0.0003161678512028398,0.35090156878532863,0.00012288598342050897,0.35090156878532863,0.000002268046429584284
0.21318689591290985,0.000364819877871054,0.3759406002166775,0.00035658323634042395,0.40598743793429615,0.0001291681676387857,0.40598743793429615,0.0000020586402889749295
0.24573763677366334,0.0004159349196216724,0.43102646936564504,0.00039490456007191545,0.46107330708326366,0.00013447312320088675,0.46107330708326366,0.000002268046429584284
0.2807922807775518,0.0004671048058376879,0.48611233851461255,0.00043001498964739837,0.5161591762322313,0.0001350315395758446,0.5161591762322313,0.0000035244832732399776
0.3158469247814403,0.0005182746920537038,0.5411982076635801,0.00045992516673108545,0.5712450453811988,0.0001361483723257605,0.5712450453811988,0.0000018492341483660087
0.35090156878532863,0.0005673056441192108,0.5962840768125477,0.00048473979439328085,0.6263309145301663,0.00013705579893506727,0.6263309145301663,0.0000020586402889749295
0.38846011593235197,0.0006181053301937925,0.6513699459615152,0.0005085422923758645,0.6814167836791338,0.0001376142153100249,0.6814167836791338,0.000002268046429584284
0.42852256622251017,0.0006693574831079048,0.7064558151104827,0.0005277029542416105,0.7365026528281013,0.00013789342349750425,0.7365026528281013,0.000003315077132630623
0.4685850165126684,0.0007197458356920039,0.7615416842594502,0.0005420472748733434,0.7915885219770689,0.00013824243373185318,0.7915885219770689,0.0000020586402889749295
0.5111513699459614,0.0007695903139942429,0.8166275534084178,0.000555204960708291,0.8466743911260364,0.0001369859968881977,0.8466743911260364,0.0000016398280077566541
0.5562216265223895,0.0008206505112794633,0.8717134225573853,0.000563267097121747,0.9017602602750039,0.0001372652050756764,0.9017602602750039,0.0000018492341483660087
0.6037957862419523,0.0008729264275476652,0.9267992917063528,0.000568502250636978,0.9568461294239714,0.00013719540302880684,0.9568461294239714,0.0000018492341483660087
0.6538738491046501,0.0009241785804617776,0.9818851608553203,0.0005714339366055074,1.011931998572939,0.00013754441326315555,1.011931998572939,0.000002966066898281699
0.7064558151104827,0.0009743313511376912,1.0369710300042878,0.0005745052266677762,1.0670178677219064,0.0001373350071225464,1.0670178677219064,0.0000018492341483660087
0.7615416842594502,0.001024798231024519,1.0920568991532553,0.0005758314655583015,1.122103736870874,0.0001376142153100249,1.122103736870874,0.000002268046429584284
0.8166275534084178,0.0010702393635367248,1.1471427683022228,0.0005756220594176924,1.1771896060198417,0.00013705579893506748,1.1771896060198417,0.000002268046429584284
0.8717134225573853,0.0011118413834710944,1.2022286374511904,0.000574575028714646,1.2322754751688092,0.0001374048091694162,1.2322754751688092,0.0000031056709920212686
0.9267992917063528,0.0011499533010619766,1.257314506600158,0.0005752032471364739,1.2873613443177767,0.00013740480916941576,1.2873613443177767,0.0000020586402889749295
0.9818851608553203,0.001184714720403111,1.3124003757491256,0.0005758314655583015,1.3424472134667442,0.00013810282963811317,1.3424472134667442,0.0000020586402889749295
1.0369710300042878,0.0012154276210258,1.3674862448980931,0.00057625027783952,1.3975330826157117,0.0001376142153100251,1.3975330826157117,0.0000018492341483660087
1.0920568991532553,0.0012410449722269974,1.4225721140470606,0.0005756220594176924,1.4526189517646793,0.0001368463927944579,1.4526189517646793,0.000002268046429584284
1.1471427683022228,0.0012644984599752326,1.4776579831960281,0.000575412653277083,1.5077048209136468,0.00013796322554437382,1.5077048209136468,0.0000035244832732399776
1.2022286374511904,0.001283205408536325,1.5327438523449957,0.0005752032471364739,1.5627906900626143,0.00013740480916941576,1.5627906900626143,0.0000018492341483660087
1.257314506600158,0.0012996786915975855,1.5878297214939632,0.0005749938409958645,1.6178765592115818,0.00013796322554437382,1.6178765592115818,0.000003245275085761055
1.3124003757491256,0.001312033653893531,1.6429155906429307,0.0005756220594176924,1.6729624283605495,0.00013719540302880684,1.6729624283605495,0.0000018492341483660087
1.3674862448980931,0.0013198514831429427,1.6980014597918982,0.000575412653277083,1.728048297509517,0.00013789342349750425,1.728048297509517,0.000002896264851411914
1.4225721140470606,0.001328018322626703,1.7530873289408657,0.0005752032471364739,1.7831341666584846,0.00013789342349750425,1.7831341666584846,0.0000020586402889749295
1.4776579831960281,0.0013307406024546233,1.8081731980898332,0.000575412653277083,1.838220035807452,0.00013789342349750447,1.838220035807452,0.0000018492341483660087
1.5327438523449957,0.0013326252577201064,1.8632590672388007,0.000575412653277083,1.8933059049564196,0.0001380330275912436,1.8933059049564196,0.0000020586402889749295
1.5878297214939632,0.0013338816945637618,1.9183449363877683,0.0005760408716989109,1.948391774105387,0.00013824243373185318,1.948391774105387,0.000002268046429584284
1.6429155906429307,0.0013343005068449803,1.9734308055367358,0.0005758314655583015,1.9951312994439048,0.00013522672678098024,1.9909581275386803,0.000004787900321582281
1.6980014597918982,0.0013337420904700223,2.0059815463974893,0.0005728997795897721,,,,
1.7530873289408657,0.0013343005068449803,,,,,,
1.8081731980898332,0.0013330440700013249,,,,,,
1.8632590672388007,0.0013343005068449803,,,,,,
1.9183449363877683,0.0013336722884231527,,,,,,
1.9734308055367358,0.0013336722884231527,,,,,,
2.0084854495406246,0.0013291857618605997,,,,,,
